Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
23/01/2019 13:30,135.81,5664.85,6056.3,505.97,941.66,Actual
23/01/2019 14:00,167.24,5794.22,6192.18,425.75,875.05,Actual
23/01/2019 14:30,161.61,5893.74,6220.81,442.71,818.61,Actual
23/01/2019 15:00,152.98,6019.07,6248.77,499.89,764.78,Actual
23/01/2019 15:30,174.07,6115.34,6355.1,500.11,770.81,Actual
23/01/2019 16:00,184.27,6243.27,6452.84,541.91,765.15,Actual
23/01/2019 16:30,135.19,6336.71,6432.69,608.86,717.83,Actual
23/01/2019 17:00,127.35,6431.05,6494.02,678.23,749.06,Actual
23/01/2019 17:30,122.3,6325.83,6168.38,767.01,634.99,Actual
23/01/2019 18:00,137.48,6253.69,5739.1,783.16,294.73,Actual
23/01/2019 18:30,287.89,6132.04,5675.11,686.95,251.74,Actual
23/01/2019 19:00,248.97,6029.96,5678.89,563.27,241.76,Actual
23/01/2019 19:30,146.93,5790.78,5555.5,463.83,249.43,Actual
23/01/2019 20:00,123.77,5653.85,5461.12,447.24,274.08,Actual
23/01/2019 20:30,123.79,5541.87,5329.81,435.47,242.62,Actual
23/01/2019 21:00,119.18,5329.7,5171.1,432.64,291.42,Actual
23/01/2019 21:30,102.55,5100.29,4950.87,385.79,256.41,Actual
23/01/2019 22:00,114.81,4836.68,4594.5,314.51,92.66,Actual
23/01/2019 22:30,116.75,4690.52,4497.67,328.38,153.11,Actual
23/01/2019 23:00,125.57,4605.71,4348.62,283.81,37.97,Actual
23/01/2019 23:30,150.97,4790.09,4364.17,255.25,-156.35,Actual
24/01/2019 00:00,131.1,4709.38,4365.3,295.15,-31.29,Actual
24/01/2019 00:30,106.66,4498.06,4160.5,292.3,-15.91,Actual
24/01/2019 01:00,108.32,4378.2,4007.83,306.25,-35.3,Actual
24/01/2019 01:30,83.8,4322.7,3997,313.93,18.84,Actual
24/01/2019 02:00,88.73,4174.48,3997,302.41,152.96,Actual
24/01/2019 02:30,83.51,4125.27,3997.01,306.15,204.55,Actual
24/01/2019 03:00,84.3,4083.48,3997.01,331.04,272.13,Actual
24/01/2019 03:30,86.7,4077.81,3997.01,378.14,329.12,Actual
24/01/2019 04:00,86.61,4136.65,3997,397.17,291.47,Actual
24/01/2019 04:30,86.09,4258.33,3972,367.84,118.43,Actual
24/01/2019 05:00,83.85,4332.95,3997,394.48,93.83,Actual
24/01/2019 05:30,119.75,4626.74,4038.24,350.8,-195.36,Actual
24/01/2019 06:00,111.5,4845.33,4323.34,360.38,-122.08,Actual
24/01/2019 06:30,107.73,5106.76,4578.75,415.17,-77.26,Actual
24/01/2019 07:00,124.13,5277.88,4657.63,516.2,-81.12,Actual
24/01/2019 07:30,113.56,5397.16,4762.98,592.86,-30.44,Actual
24/01/2019 08:00,149.64,5535.89,4772.48,657.21,-96.37,Actual
24/01/2019 08:30,93.18,5644.16,4591.67,743.92,-297.18,Actual
24/01/2019 09:00,102.44,5671.07,4620.14,658.65,-379.38,Actual
24/01/2019 09:30,100.49,5766.59,4747.16,668.01,-341.42,Actual
24/01/2019 10:00,112.2,5852.26,4756.42,678.89,-400.14,Actual
24/01/2019 10:30,119.37,6073.84,4991,651.62,-407.63,Actual
24/01/2019 11:00,206.76,6309.93,5334.39,621.47,-333.57,Actual
24/01/2019 11:30,289.39,6519.93,5829.77,599.84,-75.94,Actual
24/01/2019 12:00,231.95,6802.12,5996.44,599.13,-184.31,Actual
24/01/2019 12:30,239.8,7093.94,6272.31,638.95,-168.07,Actual
24/01/2019 13:00,286.39,7286.65,6400.15,648.73,-227.63,Actual
24/01/2019 13:30,190.30784,7475.22,6138.00273,662.62727,-655.22,Forecast
24/01/2019 14:00,161.01,7690.95,6336.41673,656.70327,-678.82,Forecast
24/01/2019 14:30,519.23055,7953.27,7253.26173,658.02827,-46.99,Forecast
24/01/2019 15:00,786.20209,8258.3,7401.00373,646.68627,-212.22,Forecast
24/01/2019 15:30,11499,8367.63,7308.71973,646.91027,-406.18,Forecast
24/01/2019 16:00,14500,8572.79,7876.00073,626.39927,-76.86,Forecast
24/01/2019 16:30,14500,8756.31,7886.99773,629.68227,-240.42,Forecast
